id_lancamento,data_lancamento,id_centro_custo,id_categoria,id_fornecedor,id_campanha_marketing,valor_lancamento,status_pagamento
1,2023-01-01,10,150,12,,522.06,Pago
2,2023-01-01,3,115,18,,1676.16,PAGO
3,2023-01-01,3,115,2,,834.09,Paga
4,2023-01-02,1,104,16,,718.83,Paga
5,2023-01-02,7,134,2,,2057.06,Pago
6,2023-01-02,5,122,16,,2242.91,Pago
7,2023-01-02,9,145,18,,630.2,Pago
8,2023-01-02,1,104,10,,2276.14,Paga
9,2023-01-02,1,104,8,,1198.7,Pago
10,2023-01-02,4,120,7,,2818.71,PAGO
11,2023-01-02,4,116,10,,2366.28,PAGO
12,2023-01-02,5,125,14,,1215.9,PAGO
13,2023-01-02,1,103,11,,3494.78,Pago
14,2023-01-03,7,134,3,,740.25,PAGO
15,2023-01-03,7,135,11,,3049.25,PAGO
16,2023-01-03,10,146,12,,3501.85,PAGO
17,2023-01-03,2,110,10,,1711.32,Paga
18,2023-01-03,6,130,2,,2396.15,PAGO
19,2023-01-03,1,101,15,,2579.48,Paga
20,2023-01-03,1,104,9,,968.81,PAGO
21,2023-01-03,2,108,10,,1151.48,Paga
22,2023-01-04,7,131,17,,2874.05,Pago
23,2023-01-04,8,136,5,,230.64,Paga
24,2023-01-04,8,136,10,,1070.0,Pago
25,2023-01-04,3,114,19,,3139.15,Pago
26,2023-01-04,1,105,14,,2670.08,Paga
27,2023-01-04,10,149,13,,3467.86,Pago
28,2023-01-04,6,129,20,,1395.11,Pago
29,2023-01-04,10,150,7,,1282.7,PAGO
30,2023-01-05,7,133,20,,2655.45,Pago
31,2023-01-05,2,110,19,,3577.15,Pago
32,2023-01-05,7,133,1,,2276.15,Pago
33,2023-01-05,10,146,17,,252.42,Pago
34,2023-01-05,5,125,20,,3115.02,Paga
35,2023-01-05,3,113,18,,517.67,Pago
36,2023-01-05,6,129,8,,2428.46,PAGO
37,2023-01-05,1,102,6,,527.61,Paga
38,2023-01-06,1,102,9,,2865.7,Pago
39,2023-01-06,3,113,11,,682.34,Paga
40,2023-01-06,7,133,15,,2190.65,Paga
