id_lancamento,data_lancamento,id_centro_custo,id_categoria,id_fornecedor,id_campanha_marketing,valor_lancamento,status_pagamento
1,2023-01-01,7,134,1,,475.25,PAGO
2,2023-01-01,2,110,10,,2415.29,PAGO
3,2023-01-01,9,145,15,,930.96,PAGO
4,2023-01-02,6,126,11,,287.64,Paga
5,2023-01-02,9,145,12,,1559.92,PAGO
6,2023-01-02,8,136,8,,882.57,PAGO
7,2023-01-02,1,103,10,,2532.71,PAGO
8,2023-01-02,9,145,2,,1198.22,Pago
9,2023-01-02,3,114,14,,2553.37,PAGO
10,2023-01-02,2,108,4,,16244.16,Pago
11,2023-01-02,7,132,11,,2034.02,Pago
12,2023-01-02,2,109,19,,972.05,PAGO
13,2023-01-02,2,109,17,,2492.34,PAGO
14,2023-01-02,3,114,2,,1532.53,PAGO
15,2023-01-02,9,144,17,,895.23,Paga
16,2023-01-02,3,115,4,,128.14,Pago
17,2023-01-02,7,135,17,,6046.21,Paga
18,2023-01-02,7,134,8,,2456.95,PAGO
19,2023-01-02,5,124,15,,1745.39,Paga
20,2023-01-02,3,112,17,,7659.32,PAGO
21,2023-01-02,5,125,18,,37910.61,PAGO
22,2023-01-02,4,117,10,,2863.13,PAGO
23,2023-01-02,6,127,6,,6944.01,PAGO
24,2023-01-02,9,145,4,,1710.9,Paga
25,2023-01-03,9,144,14,,728.82,PAGO
26,2023-01-03,9,143,1,,3169.19,Paga
27,2023-01-03,9,141,2,,2537.91,Pago
28,2023-01-03,1,102,10,,9067.91,Pago
29,2023-01-03,5,122,10,,2414.52,PAGO
30,2023-01-03,4,120,4,,1129.23,Paga
31,2023-01-03,10,150,18,,8851.15,PAGO
32,2023-01-03,7,132,10,,2179.49,PAGO
33,2023-01-03,1,104,11,,340.67,PAGO
34,2023-01-03,9,141,7,,2519.45,Paga
35,2023-01-03,10,149,12,,26259.64,PAGO
36,2023-01-03,10,150,7,,7776.83,Pago
37,2023-01-03,5,124,3,,566.14,PAGO
38,2023-01-03,3,112,13,,11688.49,Pago
39,2023-01-03,1,104,5,,259.33,Paga
40,2023-01-03,3,115,11,,430.71,Pago
41,2023-01-03,8,137,20,,1699.7,Paga
42,2023-01-03,1,105,16,,4029.42,Paga
43,2023-01-03,10,150,11,,4543.73,PAGO
44,2023-01-03,9,142,3,,6892.47,PAGO
45,2023-01-03,9,142,13,,5539.83,PAGO
46,2023-01-04,6,127,11,,6650.19,PAGO
47,2023-01-04,6,128,17,,10935.74,PAGO
48,2023-01-04,8,140,1,,1700.27,PAGO
49,2023-01-04,2,108,20,,12527.51,PAGO
50,2023-01-04,10,147,11,,11609.52,PAGO
51,2023-01-04,7,131,10,,5551.7,PAGO
52,2023-01-04,1,105,17,,3966.33,Paga
53,2023-01-04,9,144,7,,666.42,Paga
54,2023-01-04,6,130,6,,531.75,Pago
55,2023-01-04,9,145,7,,611.73,Pago
56,2023-01-04,4,119,18,,5178.33,Pago
57,2023-01-04,7,131,1,,9342.35,Pago
