id_orcamento,ano,mes,id_centro_custo,id_categoria,valor_orcado
1,2023,1,1,101,11337.16
2,2023,1,1,102,10223.21
3,2023,1,1,103,2936.09
4,2023,1,1,104,3472.79
5,2023,1,1,105,27338.01
6,2023,1,2,106,10010.09
7,2023,1,2,107,63633.66
8,2023,1,2,108,123957.49
9,2023,1,2,109,22165.5
10,2023,1,2,110,10942.56
11,2023,1,3,111,54804.4
12,2023,1,3,112,103402.8
13,2023,1,3,113,6564.09
14,2023,1,3,114,66661.91
15,2023,1,3,115,2593.11
16,2023,1,4,116,2212.22
17,2023,1,4,117,36581.61
18,2023,1,4,118,22734.18
19,2023,1,4,119,28714.79
20,2023,1,4,120,35192.51
21,2023,1,5,121,15620.4
22,2023,1,5,122,21876.29
23,2023,1,5,123,34422.55
24,2023,1,5,124,7805.3
25,2023,1,5,125,33370.16
26,2023,1,6,126,2633.16
27,2023,1,6,127,5860.49
28,2023,1,6,128,160755.4
29,2023,1,6,129,54393.77
30,2023,1,6,130,15193.3
31,2023,1,7,131,73622.01
32,2023,1,7,132,2169.55
33,2023,1,7,133,10331.62
34,2023,1,7,134,12101.07
35,2023,1,7,135,68941.82
36,2023,1,8,136,20294.23
37,2023,1,8,137,46309.05
38,2023,1,8,138,28391.45
39,2023,1,8,139,15772.44
40,2023,1,8,140,10717.0
41,2023,1,9,141,3546.6
42,2023,1,9,142,5921.61
43,2023,1,9,143,20448.9
44,2023,1,9,144,8025.12
46,2023,1,10,146,218417.15
47,2023,1,10,147,56920.06
48,2023,1,10,148,127489.29
49,2023,1,10,149,175105.2
51,2023,2,1,101,13393.13
52,2023,2,1,102,10211.8
53,2023,2,1,103,2950.73
54,2023,2,1,104,4866.99
55,2023,2,1,105,30786.43
56,2023,2,2,106,8959.23
57,2023,2,2,107,54853.91
58,2023,2,2,108,136757.46
60,2023,2,2,110,13564.95
61,2023,2,3,111,56062.68
62,2023,2,3,112,117159.21
63,2023,2,3,113,5362.92
64,2023,2,3,114,59231.2
65,2023,2,3,115,2982.46
66,2023,2,4,116,2222.95
67,2023,2,4,117,38464.96
68,2023,2,4,118,19809.88
69,2023,2,4,119,43152.67
70,2023,2,4,120,26456.59
71,2023,2,5,121,22420.93
72,2023,2,5,122,16974.84
73,2023,2,5,123,23080.87
74,2023,2,5,124,12406.48
75,2023,2,5,125,35048.23
76,2023,2,6,126,2153.76
77,2023,2,6,127,5805.67
78,2023,2,6,128,104786.65
79,2023,2,6,129,63708.87
80,2023,2,6,130,10277.78
81,2023,2,7,131,71436.31
82,2023,2,7,132,2167.22
83,2023,2,7,133,13506.03
84,2023,2,7,134,14415.8
85,2023,2,7,135,60356.97
86,2023,2,8,136,22586.62
87,2023,2,8,137,39205.71
88,2023,2,8,138,31992.73
89,2023,2,8,139,13709.96
90,2023,2,8,140,14194.85
91,2023,2,9,141,3273.81
92,2023,2,9,142,5902.49
93,2023,2,9,143,30715.24
94,2023,2,9,144,6724.36
95,2023,2,9,145,18499.03
96,2023,2,10,146,135882.15
97,2023,2,10,147,96453.14
98,2023,2,10,148,86747.28
99,2023,2,10,149,185331.64
100,2023,2,10,150,54637.7
101,2023,3,1,101,15169.72
103,2023,3,1,103,56521.74
104,2023,3,1,104,5314.97
105,2023,3,1,105,35844.44
106,2023,3,2,106,7014.96
107,2023,3,2,107,86048.68
108,2023,3,2,108,128926.47
109,2023,3,2,109,29319.63
110,2023,3,2,110,19260.16
111,2023,3,3,111,33446.94
112,2023,3,3,112,104610.9
113,2023,3,3,113,6682.82
114,2023,3,3,114,76031.83
115,2023,3,3,115,2445.48
116,2023,3,4,116,2350.13
117,2023,3,4,117,65795.73
118,2023,3,4,118,21641.1
119,2023,3,4,119,38248.42
120,2023,3,4,120,28496.35
121,2023,3,5,121,11465.16
122,2023,3,5,122,17674.31
123,2023,3,5,123,26307.47
124,2023,3,5,124,13747.34
125,2023,3,5,125,32874.86
126,2023,3,6,126,1896.86
127,2023,3,6,127,5559.62
128,2023,3,6,128,140075.05
129,2023,3,6,129,57915.8
130,2023,3,6,130,241154.16
131,2023,3,7,131,86549.19
132,2023,3,7,132,2309.52
133,2023,3,7,133,9351.54
134,2023,3,7,134,12952.33
135,2023,3,7,135,56029.92
136,2023,3,8,136,19782.35
137,2023,3,8,137,33446.46
138,2023,3,8,138,39663.67
139,2023,3,8,139,251862.05
140,2023,3,8,140,10545.48
141,2023,3,9,141,3462.78
142,2023,3,9,142,6004.24
143,2023,3,9,143,25863.16
144,2023,3,9,144,4980.75
145,2023,3,9,145,14600.14
146,2023,3,10,146,188523.36
147,2023,3,10,147,52811.96
148,2023,3,10,148,141926.26
149,2023,3,10,149,201305.27
150,2023,3,10,150,65871.7
151,2023,4,1,101,11311.56
152,2023,4,1,102,10770.05
153,2023,4,1,103,2866.92
154,2023,4,1,104,5474.72
155,2023,4,1,105,31602.83
156,2023,4,2,106,13452.53
157,2023,4,2,107,87435.06
158,2023,4,2,108,165462.22
159,2023,4,2,109,32821.73
160,2023,4,2,110,15659.42
161,2023,4,3,111,41902.58
162,2023,4,3,112,97512.12
163,2023,4,3,113,4984.55
164,2023,4,3,114,51201.72
165,2023,4,3,115,2713.33
166,2023,4,4,116,2163.81
167,2023,4,4,117,49172.62
168,2023,4,4,118,25233.22
169,2023,4,4,119,45903.86
170,2023,4,4,120,23834.63
172,2023,4,5,122,17751.34
173,2023,4,5,123,25929.76
174,2023,4,5,124,8674.6
175,2023,4,5,125,34707.21
176,2023,4,6,126,1567.82
177,2023,4,6,127,5842.24
178,2023,4,6,128,132949.69
179,2023,4,6,129,55083.15
180,2023,4,6,130,9422.88
181,2023,4,7,131,71826.26
182,2023,4,7,132,2311.68
183,2023,4,7,133,8869.39
184,2023,4,7,134,18612.37
185,2023,4,7,135,65710.84
186,2023,4,8,136,28470.7
187,2023,4,8,137,27901.42
188,2023,4,8,138,34912.94
189,2023,4,8,139,16542.2
190,2023,4,8,140,13950.31
191,2023,4,9,141,3516.27
192,2023,4,9,142,5812.16
